index,question,label
1001,الکترولیت ها بر اساس چه هستند؟,1
1002,موضوع الکترولیت ها چیه؟,1
1003,بحث باز يون های داخل سلولی چيه؟,1
1004,چيزي که بايد ازش آگاه باشي چيه؟,1
1005,چه چیزی پتاسیم را افزایش می دهد؟,1
1006,چه بخشی از بدن برای بیماران سدیم پتاسیم روزانه می خواهد؟,0
1007,دو مدل که پتاسیم و سدیم را اندازه گیری می کنند چیست؟,1
1008,الکترولیتها بر اساس چیست؟,-1
1009,موضوع الکترولیت ها چیست؟,1
1010,بحث آزاد یونهای داخل سلولی چیست؟,1
1011,چیزی که شما باید از آن آگاه باشید چیست؟,1
1012,چه چیزی پتاسیم را افزایش می دهد؟,1
1013,کدام قسمت از بدن سدیم پتاسیم روزانه را برای بیماران درخواست می کند؟,1
1014,نام دو مدلی که پتاسیم و سدیم را اندازه گیری می کنند چگونه است؟,-1
1015,مدل دستگاه قدیمی تر است که من به شما نشان می دهد که شما می خواهید در مورد صحبت کنید؟,-1
1016,چه نقاطی را باید در مورد پتاسیم در نظر داشت؟,1
1017,چه چیزی پتاسیم را افزایش می دهد؟,1
1018,پتاسیم چه چیزی افزایش می یابد همانطور که ما می گوییم خدمات شما است؟,0
1019,چه نوع آریتمی بخش های بسیار زیادی مانند CCU را می بینیم که یک سدیم روزانه پتاسیم می خواهند؟,-1
1020,نام دو مدل که پتاسیم و سدیم را اندازه گیری می کنند چیست؟,1
1021,یک مدل دستگاه قدیمی تر که من به شما نشان می دهم همانطور که می خواهید در مورد آن صحبت کنید؟,0
1022,نکاتی که باید در مورد پتاسیم در نظر داشته باشید؟,1
1023,چه چیزی پتاسیم را افزایش می دهد؟,1
1024,پتاسیم همانطور که می گوییم خدمات شما چیست افزایش می یابد؟,0
1025,چه نوع آریتمی را می بینیم که قسمتهای زیادی مانند CCU را می بینیم که روزانه سدیم پتاسیم می خواهند؟,0
1026,برای فهم قرآن از دو مدل چه استفاده می شود؟,1
1027,مدل معروف تر و رایج تر برای فهم قرآن چگونه است؟,1
1028,قرآن چيه؟,1
1029,وقتی می خواهیم قرآن را بفهمیم چه باید بفهمیم؟,1
1030,خروجی دیدگاه قرآن چیه؟,1
1031,الگوی دیگری برای درک قرآن به نام چه است؟,1
1032,از دو مدل برای درک قرآن استفاده می شود؟,1
1033,یک الگوی مشهور و متداول برای درک قرآن چیست؟,1
1034,قرآن چیست؟,1
1035,وقتی می خواهیم قرآن را بفهمیم چه چیزی باید درک کنیم؟,1
1036,خروجی نمای قرآن چیست؟,1
1037,الگوی دیگری برای درک قرآن چیست؟,1
1038,برای فهم قرآن در قرآن از چند مدل قرآن استفاده می شود؟,1
1039,نظر قرآن چيه؟,1
1040,وقتی می خواهیم قرآن را بفهمیم این چه شکلی است؟,1
1041,خروجی نگاه قرآن به چه چیزی است؟,1
1042,چند مدل از قرآن برای درک قرآن در قرآن استفاده می شود؟,1
1043,نظر قرآن چیست؟,1
1044,وقتی می خواهیم قرآن را بفهمیم این چه به نظر می رسد؟,1
1045,خروجی نمای قرآن چیست؟,1
1046,دو نوع آهنربا که برای آموزش استفاده می شوند چه هستند؟,1
1047,سيستمي که دارم بهت نشون ميدم چيه؟,1
1048,هگز و نان هگز چه نوع آهنرباهايي دارن؟,1
1049,هاکس و نان هاکس چند طرف دارن؟,1
1050,هاکس و نان هاکس چند طرف مختلف دارند؟,1
1051,مزایا و معایب سیستم استرومن چه هستند؟,1
1052,چه تفاوتی بین پروتز و پروتز وجود دارد؟,1
1053,دو نوع آهن ربا که برای آموزش استفاده می شود چیست؟,1
1054,سیستمی که به شما نشان می دهم چیست؟,1
1055,هگز و نان هگز چه نوع آهن ربا هستند؟,1
1056,HEX و NAN HEX چند طرف دارند؟,1
1057,Hex و Nan Hex چند طرف مختلف دارند؟,1
1058,مزایا و مضرات سیستم استرومان چیست؟,1
1059,تفاوت بین پروتز و پروتز چیست؟,1
1060,دو تا اسم سيستم استومن چيه؟,1
1061,سيستمي که الان دارم نشون ميدهم چيه؟,1
1062,آهنرباها را آموزش می دهند؟,1
1063,چه تفاوتی بین هکسی و نان هکسی وجود دارد؟,1
1064,نان هاکس چي داره؟,1
1065,چند طرف در ارتباط هستند؟,1
1066,اينو چند طرف ميذاري؟,1
1067,هنوز اين 12 طرف رو چي ميذاري؟,-1
1068,خطاهای مصنوعی کمتر به چه معناست وقتی در آن قرار می گیرد؟,1
1069,چند جهت در پروتز وجود دارد؟,1
1070,چه قطعه ای از پروتز ما در خواهد بود؟,-1
1071,دو نام سیستم Struman چیست؟,1
1072,سیستمی که فعلاً نشان می دهم چیست؟,1
1073,آموزش آهن ربا چیست؟,1
1074,تفاوت بین Hex و Nan Hex چیست؟,1
1075,نان هگز چیست؟,1
1076,چند طرف در ارتباط هستند؟,1
1077,چند طرف این کار را می کنید؟,1
1078,شما هنوز این را از این 12 طرف قرار می دهید؟,-1
1079,خطاهای پروتز کمتری هنگام قرار دادن به چه معنی است؟,-1
1080,چند جهت در پروتز وجود دارد؟,1
1081,در چه قطعه ای از پروتز ما قرار خواهد گرفت؟,1
1082,چیز کوچکی است که با همه چیز روبه رو می شود؟,1
1083,آقای محمد جمالی چه نوشتند؟,1
1084,چگونه به عادات عادت کنم؟,1
1085,چه کسی عادات را نوشته است؟,1
1086,آقا محمد جمالی اولین باری که می خواستم قطعش کنم چه کرد؟,1
1087,آقا محمد محمد جمالی چه کرد؟,1
1088,هر چند وقت یکبار مغزم وقتی تکرار می شود جعبه ای به وجود می آید؟,0
1089,چیز کوچکی که با همه چیز مقابله می کند چیست؟,1
1090,آقای محمد جمالی چه نوشت؟,1
1091,چگونه می توانم به عادت ها عادت کنم؟,1
1092,چه کسی عادات را نوشت؟,1
1093,آقا محمد جمالی اولین باری که می خواستم آن را قطع کنم چه کاری انجام داد؟,1
1095,هر چند وقت یک بار مغز من با یک جعبه روبرو می شود؟,1
1096,چه کسی عادت هایی نوشت که عادت می کنم وقتی می خواهم کلید اتاق را خاموش کنم و انگشتم را روشن کنم با پشت انگشتم روشن می شود و,-1
1097,وقتي ميخوام کليد اتاق رو خاموش کنم به چي عادت کنم؟,1
1098,وقتي ميخوام کليد اتاق رو خاموش کنم و انگشتم رو روشن کنم به کي عادت کردم؟,1
1099,مغزم چند بار برایش جعبه درست می کند؟,1
1101,وقتی می خواهم کلید اتاق را خاموش کنم به چه چیزی عادت می کنم؟,1
1102,وقتی می خواهم کلید اتاق را خاموش کنم و انگشت خود را روشن کنم ، به چه کسی عادت کردم؟,1
1103,چند بار مغز من جعبه ای برای آن درست می کند؟,1
1104,اصول فیبروز چه هستند؟,1
1105,توالی ابرو در حال حاضر در روش فیبروز چقدر بالا است؟,1
1106,روش فیبروز به چه نام است؟,1
1107,نقطه 5 و نقطه 6 روش فیبروز چیه؟,1
1108,در روش فیبروز چند کمان وجود دارد؟,1
1109,در روش فیبروز چند اندازه وجود دارد؟,1
1110,از چه نقطه ای می خواهید به نقطه 5 تقریبا مستقیم؟,-1
1111,اصول فیبروز چیست؟,1
1112,توالی ابرو اکنون در روش فیبروز چقدر زیاد است؟,1
1113,روش فیبروز چیست؟,1
1114,نقطه 5 و نقطه 6 روش فیبروز چیست؟,1
1115,چند کمان در روش فیبروز وجود دارد؟,1
1116,چند اندازه در روش فیبروز وجود دارد؟,1
1117,از چه نقطه ای می خواهید نقطه 5 را تقریباً مستقیم قرار دهید؟,1
1118,طراحی اساسی ابروها چه چیزی است؟,1
1119,نقطه بالای تاج زیر تاج نامیده می شود؟,1
1120,چه می رسد به نقطه 5 و نقطه 6؟,1
1121,چند کمان می کند 1 ابرو تاج 3 دنباله 4 نقطه تحت تاج 5?,-1
1122,طراحی اصلی ابرو چیست؟,1
1123,نقطه بالای تاج که در زیر تاج نامیده می شود چیست؟,1
1124,رسیدن به نقطه 5 و نقطه 6 چیست؟,1
1125,1 تاج ابرو 3 دنباله 4 نقطه 4 نقطه در زیر تاج 5 چند کمان دارد؟,0
1126,برای بیمارانی که بیشتر بیماران پروتز یا دیالیز شما را دارند چه درخواستی می توان کرد؟,0
1127,میزان روزانه آلومینیوم توسط چه مقداری خارج می شود؟,1
1128,پروتز هایی که شما و مردم الان در آن قرار داده اند چه هستند؟,1
1129,اسم آزمايشي که در خدمت شما توضيح داديم چيه؟,1
1130,این دو در و خارج از سلول چه هستند؟,-1
1131,دو آزمایش دیگر که بعد از خدمت به شما خوانده ایم چه می کنند؟,1
1132,دو نوع آزمایش که ما به شما نشان دادیم چه هستند؟,1
1133,چه چیزی می تواند برای بیماران مبتلا به پروتز یا بیماران دیالیز شما درخواست شود؟,1
1134,مقدار روزانه آلومینیوم دفع شده چقدر است؟,1
1135,پروتزهایی که اکنون شما و مردم در آن قرار داده اید چیست؟,1
1136,نام آزمایشی که در خدمات شما توضیح داده ایم چیست؟,1
1137,این دو در داخل و خارج از سلول چیست؟,1
1138,دو آزمایش دیگر که بعد از آنها خوانده ایم به شما خدمت می کنند؟,1
1139,دو نوع آزمایش که به شما نشان دادیم چیست؟,1
1140,خدمات شما برای بیمارانی که بیشتر بیماران پروتز یا دیالیز خود را دارند، چه می باشد؟,1
1141,علت دفع روزانه آلومینیوم توسط کلیه ها چه می باشد؟,1
1142,با این آزمون چه درخواستی می توان کرد؟,1
1143,حالت های مختلف برای درخواست چه هستند؟,1
1144,برخی از آزمایش هایی که تا کنون خوانده ام چه هستند؟,1
1145,دوستان در موردی که به شما نشان دادیم فسفر ما را چه می بینند؟,1
1146,خدمات شما برای بیماران با بیشتر پروتز یا بیماران دیالیز چیست؟,-1
1147,علت میزان روزانه آلومینیوم توسط کلیه ها دفع می شود؟,-1
1148,چه چیزی می تواند توسط این آزمون درخواست شود؟,1
1149,حالت های مختلف برای درخواست چیست؟,1
1150,برخی از آزمایشاتی که تاکنون خوانده ایم چیست؟,1
1151,دوستان ما در مورد اینکه ما به شما نشان دادیم ، فسفر ما را می بینند؟,1
1152,یکی از نرم افزارهای آنلاین که برای طراحی یک سایت پریمتر بسیار مورد استفاده قرار می گیرد، چه چیزی است؟,1
1153,چه نرم افزاری برای طراحی primers استفاده می شود؟,1
1154,اولیگو آنالیزر شما را به بقیه سایت چه داد؟,-1
1155,چه کسی نرم افزار چند فیلم برای شما که من قرار داده ام به دانستن، و شما در واقع آنها را می شناسند؟,-1
1156,بیشترین دستوراتی که برای طراحی پریمرها انجام میدهیم چه هستند؟,1
1157,دو نوع پرایمرها که می خواهید طراحی کنید چه هستند؟,1
1158,سایت پیشگام چه چیزی را در اختیار شرکت کنندگانی قرار داد که می خواهند پریم را طراحی کنند؟,1
1159,یکی از نرم افزارهای آنلاین که برای طراحی یک سایت آغازگر بسیار استفاده می شود چیست؟,1
1160,از چه نرم افزاری برای طراحی آغازگرها استفاده می شود؟,1
1161,الیگو آنالایزر به شما به بقیه سایت چه داد؟,1
1162,چه کسی نرم افزار چند فیلم برای شما دارد که من آن را آشنا کرده ام ، و واقعاً با آنها آشنا خواهید شد؟,1
1163,بیشترین سفارشاتی که ما برای طراحی آغازگرها انجام می دهیم چیست؟,1
1164,دو نوع آغازگر که می خواهید طراحی کنید چیست؟,1
1165,سایت پیشگام برای شرکت کنندگان که می خواهند آغازگر را طراحی کنند ، چه چیزی را ارائه داد؟,1
1166,برای طراحی سایت پرایم از چه نرم افزاری استفاده می شود؟,1
1167,از چه نرم افزاری برای ساخت فیلم استفاده می شود که من در واقع آنها را ملاقات خواهم کرد؟,0
1168,بیشترین سفارش هایی که برای طراحی پریمر مشتری انجام میدهم چه هستند؟,1
1169,دنباله های پریمرها که شرکت از ما می خواهد چه هستند؟,1
1170,سایت پایونیر چه چیزی را در اختیار شرکت کنندگانی قرار داد که می خواهند پریم را طراحی کنند؟,1
1171,نرم افزار Oligo Analyzer چه کار می کند؟,1
1172,از چه نرم افزاری برای طراحی سایت نخست استفاده می شود؟,1
1173,از چه نرم افزاری برای ساخت فیلم استفاده می شود که من واقعاً آنها را ملاقات خواهم کرد؟,1
1174,بیشترین سفارشاتی که من برای طراحی آغازگر مشتری می دهم چیست؟,1
1175,توالی آغازگرها که شرکت از ما درخواست می کند چیست؟,1
1176,سایت پایونیر برای شرکت کنندگان که می خواهند آغازگر را طراحی کنند ، چه چیزی را ارائه داد؟,1
1177,نرم افزار آنالایزر الیگو چه کاری انجام می دهد؟,1
1178,آیه قرآنی چیه؟,1
1179,دیگر سورهای آیه قرآنی کیست؟,0
1180,کجا به ما توصیه شده است که در واقع قرآن بخوانیم؟,1
1181,چه کسی گفته است که قرائت قرائت در قرائتی که تعمق نیست خوب نیست؟,-1
1182,مسئله مو از آیه قرآنی چه است؟,1
1183,قرآن، تعالیم خدا، تعالیم خدا، برای انسان ها در قالب چه چیزی است؟,-1
1184,وظيفه محوري قرآن چيه؟,1
1185,آیه قرآنی چیست؟,1
1186,سوره دیگر آیه قرآنی کیست؟,-1
1187,از کجا به ما توصیه شده است که واقعاً قرآن را بخوانیم؟,1
1188,چه کسی گفت که تلاوت تلاوت در تلاوت که دلپذیر نیست خوب نیست؟,-1
1189,مسئله مو آیه قرآنی چیست؟,1
1190,قرآن ، آموزه های خدا ، آموزه های خدا ، برای انسانها به شکل چیست؟,-1
1191,وظیفه اصلی قرآن چیست؟,1
1192,چه زبانی در تولید نرم افزار برای ایجاد یوزپلنگ استفاده می شود که از فارسی استفاده می شود؟,-1
1193,چه زبانی در تولید نرم افزار برای ایجاد یوزپلنگ استفاده می شود که از فارسی استفاده می شود؟,-1
1194,هر چند وقت یکبار در تولید نرم افزار شروع می شود؟,1
1195,یعنی چه چیزی می توانیم شروع به تولید محصول کنیم؟,-1
1196,از چه زبانی در تولید نرم افزار برای ایجاد یوزپلنگ استفاده می شود که فارسی استفاده می شود؟,-1
1197,از چه زبانی در تولید نرم افزار برای ایجاد یوزپلنگ استفاده می شود که فارسی استفاده می شود؟,-1
1198,چند بار در تولید نرم افزار شروع می شود؟,1
1199,به چه معنی می توانیم تولید محصول را شروع کنیم؟,1
1200,نام کاربری که قبلا ً می گفتیم آن بازیگر و حالا کسانی که قرار است با این محصول تعامل داشته باشند چه نامی دارد؟,1
1201,به چه زبانی به یک فرایند ساده راه افتاده ایم؟,-1
1202,با یک نرم افزار چه باید کرد؟,1
1203,نام کاربری که قبلاً می گفتیم آن بازیگر زن است و اکنون کسانی که قصد دارند با این محصول تعامل داشته باشند چیست؟,1
1204,به چه زبانی یک فرایند ساده ارائه داده ایم؟,1
1205,با یک نرم افزار چه کاری باید انجام دهید؟,1
1206,چه کسی با جلسات اول و دوم یک سری آزمایش ها به شما خدمت خواهد کرد؟,1
1207,اسم گروه تست کبد چيه؟,1
1208,تست منیزیم مربوط به مس است؟,1
1209,در مورد آزمایش های گروه ویتامین به شما چه خواهیم گفت؟,1
1210,نام يونهايي که داخل سلول کار ميکنن چيه؟,1
1211,اگر اسلاید را ببینید سدیم چه می کند؟,1
1212,چه کسی با جلسات اول و دوم یک سری آزمایشات به شما خدمت می کند؟,1
1213,نام گروه تست کبد چیست؟,1
1214,آزمایش منیزیم مربوط به مس چیست؟,1
1215,ما در مورد آزمایش های گروه ویتامین به شما چه خواهیم گفت؟,1
1216,نام یونهایی که در داخل سلول کار می کنند چیست؟,1
1217,سدیم اگر اسلاید را ببینید چه کاری انجام می دهد؟,1
1218,بيسملا رحمان رحيم چي ياد ميده؟,0
1219,فسفر چه نوع فسفر سدیم پتاسیم کلسیم روی فسفر مگناسیون آزمایش شده توسط?,-1
1220,چه خدمتی می کنیم؟,1
1221,دو يونه که داخل سلول کار ميکنن چي هستن؟,0
1222,دو نوع يونه که داخل سلول کار ميکنن چي هستن؟,0
1223,بیسمانه اللهمن الراهیم چه می آموزد؟,0
1224,فسفر روی کلسیم پتاسیم سدیم پتاسیم پتاسیم که توسط آن آزمایش شده است ، چه نوع فسفر است؟,-1
1225,به چه چیزی خدمت می کنیم؟,1
1226,دو یونی که در داخل سلول کار می کنند چیست؟,1
1227,دو نوع یونی که در داخل سلول کار می کنند چیست؟,1
1228,دلیل محتوا هم چه است و حداقل محتوای منسجم، ممکن است نفهمیم؟,-1
1229,وقتی مسیر آیات را در مرحله دوم مسیر آیات دنبال می کنیم، می بینیم که بعضی جاها چه هستند؟,-1
1230,چه شکلی در آیات؟,0
1231,در چه آیه ای نمونه ای از آیه ای در سوراء ساء است؟,0
1232,چه کسی باید ادامه آیات دوم سوراء سیه را بررسی کند؟,0
1233,آیه دهم سوراء الثاء چه می شود؟,0
1234,رابطه ادبی آیات وانفقوا و سوراء السعاء چه رابطه ای دارد؟,0
1235,دلیل محتوا نیز و حداقل محتوای منسجم ممکن است درک نکنیم؟,-1
1499,چه تفاوتی در مورد گرفتن اجساد خارجی به نوزادان ، کودکان و بزرگسالان دارد؟,-1
1500,تأثیر اجساد خارجی به نوزادان ، کودکان ، کودکان و بزرگسالان چیست؟,-1
1613,تفاوت مهمی در قالب بندی چیست؟,-1
1227,دو نوع یونی که در داخل سلول کار می کنند چیست؟,1
1228,دلیل محتوا هم چه است و حداقل محتوای منسجم، ممکن است نفهمیم؟,-1
1229,وقتی مسیر آیات را در مرحله دوم مسیر آیات دنبال می کنیم، می بینیم که بعضی جاها چه هستند؟,-1
1235,دلیل محتوا نیز و حداقل محتوای منسجم ممکن است درک نکنیم؟,-1
1241,رابطه ادبی بین آیات Wanfaqwa و Sura Al-Sa'a چیست؟,0
1242,وقتی آیات را در مرحله دوم آیات بین آیات دنبال می کنیم، چه بحثی داشتیم؟,1
1243,نام آیات 1 تا 2 کدام است که باید در مرحله بعدی برای هر یک از این سیاست ها بررسی کنیم؟,1
1244,نام آیه ای که در گذشته هستم چه است؟,1
1245,آیه دهم که در گذشته هستم در این دو آیه چه آیه قبلی دارد؟,0
1245,آیه دهم که در گذشته هستم در این دو آیه چه آیه قبلی دارد؟,0
1246,وقتی در مرحله دوم آیات بین آیات را دنبال می کنیم ، درباره چه بحث کردیم؟,1
1247,نام آیات 1 تا 2 که باید در مرحله بعدی برای هر یک از این سیاست ها بررسی کنیم چیست؟,1
1248,نام آیه ای که در گذشته هستم چیست؟,1
1249,آیه دهم من در گذشته چه چیزی را در این دو آیه قبلی دارد؟,0
1250,مشتری به شما چند شکستگی استخوان اشاره می کند؟,1
1251,به محض درمان شکستگی چه کاری می توانید انجام دهید، دست یا پایش از گچ خارج می شود؟,0
1252,منع های موقتی چه هستند؟,1
1253,آدمايي که توي بدنشون هستن چي هستن؟,1
1254,اولین مراقبتی که برای پوست انجام می دهیم چه کاری است؟,1
1255,برای درمان شکستگی چه باید استفاده کرد؟,1
1256,سه تا خورشيد براي يک هفته چيکار نميتونن بکنن ؟,1
1257,مشتری چند شکستگی استخوان به شما مراجعه می کند؟,1
1258,به محض درمان شکستگی ، چه کاری می توانید انجام دهید ، دست یا پای او از گچ خارج است؟,0
1259,موارد منع مصرف موقت چیست؟,1
1260,افراد در بدن خود با چه مواردی روبرو هستند؟,1
1261,اولین مراقبت ما برای پوست چیست؟,1
1262,چه چیزی باید برای درمان شکستگی استفاده شود؟,1
1263,چه کاری نمی تواند سه خورشید به مدت یک هفته انجام دهد؟,-1
1264,مشتری چند تا شکستگی استخوان به سرت میاد؟,-1
1265,ممنوعیت موقت شکستگی استخوان چه است؟,1
1266,بعضی چیزها که گفتم هم ممنوع است؟,1
1267,کسانی که فلز در بدن خود دارند چه هستند؟,1
1268,اسم دستگاهی که برای پوست انجام می دهیم چه بود؟,1
1269,چه چیزی باید مورد استفاده قرار گیرد برای محافظت از پوست از رنگ آمیزی؟,1
1270,چه چیزی آفتاب نمی گیرید؟,1
1271,مشتری چند شکستگی استخوان به شما می آید؟,-1
1272,ممنوعیت موقت برای شکستگی استخوان چیست؟,1
1273,برخی از مواردی که گفتم نیز ممنوع است؟,1
1274,کسانی که در بدن خود فلز دارند چیست؟,-1
1275,نام دستگاهی که برای پوست انجام می دهیم چیست؟,1
1276,چه چیزی باید برای محافظت از پوست در برابر رنگ آمیزی استفاده شود؟,1
1277,آفتاب چه چیزی را نمی گیرد؟,1
1278,چند پلاگین خوب برای معرفی شما برای طراحی صفحه وجود دارد؟,1
1279,چند پلاگین کمپرسور بصری وجود دارد؟,1
1280,چگونه می توانید تمام این گزینه ها را اضافه کنید؟,1
1281,چه بخش هایی رنگ های متنوعی دارند؟,1
1282,چه افزونه ای است که دوست دارید به لغزنده سایت آنچه در بالای صفحه می خورد؟,1
1283,اگر شما می دانید چگونه به کد اگر شما یک وب سایت وردپرس چه می توانید انجام دهید؟,-1
1284,کدنویسی PHPSS به چه معناست؟,1
1285,تم ها و پلاگین ها را برای خودتان طراحی می کنید که چه چیزی داشته باشید؟,1
1286,همان تمی که افراد وقتی به آدرس اینترنتی شما و آدرس سایت شما نگاه می کنند با آن مواجه می شوند؟,1
1287,چند افزونه خوب برای معرفی شما برای طراحی صفحه وجود دارد؟,1
1288,چند افزونه کمپرسور بصری وجود دارد؟,1
1289,چگونه می توانید تمام این گزینه ها را اضافه کنید؟,1
1290,کدام بخش ها رنگ های مختلفی دارند؟,1
1291,افزونه ای که دوست دارید سایت را که در بالای صفحه می خورد ، بکشید؟,0
1292,اگر می دانید اگر وب سایت وردپرس هستید ، چه کاری می توانید انجام دهید؟,-1
1293,کدگذاری PHPSS به چه معنی است؟,1
1294,برای داشتن خود مضامین و افزونه ها چه چیزی را طراحی می کنید؟,1
1295,همان موضوعی که افراد هنگام نگاه به URL و آدرس سایت شما با آنها روبرو می شوند چیست؟,1
1296,چه دو پلاگین می تواند به شما کمک کند طراحی صفحات خود را؟,-1
1297,چگونه می توانید یک صفحه طراحی کنید؟,1
1298,بالاي صفحه ورق چيه؟,1
1299,چه می خواهید مخزن وردپرس دست خود را؟,-1
1300,وقتی وارد مخزن وردپرس می شوید می خواهید چه کار کنید؟,1
1301,همان پوسته ای که مردم آدرس اینترنتی شما و آدرس سایت شما را جستجو می کنند، چه چیزی است؟,1
1302,چه دو افزونه می تواند به شما در طراحی صفحات کمک کند؟,0
1303,چگونه می توانید یک صفحه طراحی کنید؟,1
1304,بالای صفحه ورق چیست؟,0
1305,مخزن وردپرس دست خود را چه می خواهید؟,-1
1306,هنگام ورود به مخزن وردپرس می خواهید چه کاری انجام دهید؟,1
1307,همان پوسته افرادی که URL و آدرس سایت شما را جستجو می کنند چیست؟,1
1308,چه چیزی بر ذهن ما تاثیر می گذارد؟,1
1309,دليل اينکه داريم کيفيت زندگيمون رو خراب ميکنيم چيه؟,1
1310,چه چیزی ممکن است تصمیم ما را در زندگی گیج کند؟,1
1311,ما بايد چيکار کنيم؟,1
1312,چند سال تجربه دارم؟,1
1313,همکارم در چه سازمانی کار می کند؟,1
1314,چه چیزی روی ذهن ما تأثیر می گذارد؟,1
1315,دلیلی که ما کیفیت زندگی خود را خراب می کنیم چیست؟,1
1316,چه چیزی ممکن است تصمیم ما در زندگی را گیج کند؟,1
1317,باید چکار کنیم؟,1
1318,چند سال تجربه دارم؟,1
1319,همکار من در چه سازمانی کار می کند؟,1
1320,علت اطلاعات نادرست در زندگی ما چه بوده است؟,1
1321,چه چیزی ممکن است تصمیم ما را در زندگی اشتباه کند؟,1
1322,در رفتارمان چه باید بکنیم؟,1
1323,من چه دکترا دارم؟,-1
1324,چند سال تجربه دارم؟,1
1325,نام دوستم که سال هاست در مجموعه های سازمانی و اداری مشغول به کار است، چه می شود؟,1
1326,علت اطلاعات دروغین در زندگی ما چیست؟,1
1327,چه چیزی ممکن است تصمیم ما را در زندگی اشتباه کند؟,1
1328,در رفتار خود چه کاری باید انجام دهیم؟,1
1329,چه دکترا دارم؟,-1
1330,چند سال تجربه دارم؟,1
1331,نام دوست من که سالها در مجموعه های سازمانی و اداری کار می کند چیست؟,1
1332,اسم يه شخصيت توي اين پوسه چيه؟,1
1333,چه اتفاقی برای یک شخصیت در این posse می افتد؟,0
1334,یک شخصیت در این پوسه چه می کند؟,1
1335,پوسه ي شخصيتي که ميخواد بپره و منو بشينه چيه؟,-1
1336,مرکز گرانش بدن یک شخصیت کجاست؟,1
1337,اسم پوسه ای که روی توپمون دیدیم چیه؟,1
1338,این پوسه چه حجمی به نظر می رسد؟,1
1339,یک شخصیت در این پوسه چه عمومیت دارد؟,-1
1340,نام یک شخصیت در این posse چیست؟,1
1341,چه اتفاقی برای یک شخصیت در این posse می افتد؟,1
1342,شخصیتی در این posse چه کاری انجام می دهد؟,1
1343,شخصیت شخصیتی که می خواهد پرش کند و من را بنشیند چیست؟,-1
1344,مرکز ثقل بدن یک شخصیت چیست؟,1
1345,نام پوزسی که ما روی توپ خود دیدیم چیست؟,0
1346,این موضع چه حجمی به نظر می رسد؟,1
1347,تعمیم یک شخصیت در این شخصیت چیست؟,1
1373,مهمترین هشدار چیست؟,1
1374,چرا این کار را انجام می دهیم چون دستگاه به زودی دستگاه را روشن نمی کند و فشار زیادی به موتور ما وارد نمی کند؟,1
1375,دستگاه چند mmHg داره؟,0
1376,برخی از پرسنل درمانی که با آنها کار نمی کنند چه هستند؟,-1
1377,مهم ترین زنگ خطر و مهم ترین بخش دستگاه ما چیه؟,1
1378,مهم ترین بخش دستگاه ما چه چیزی است؟,1
1379,چرا ما این کار را انجام می دهیم زیرا دستگاه به زودی دستگاه را آلوده نمی کند و فشار زیادی به موتور ما وارد نمی کند؟,1
1380,دستگاه چند MMHG دارد؟,0
1381,برخی از پرسنل درمانی که با آنها کار نمی کنند چیست؟,-1
1382,مهمترین هشدار و مهمترین قسمت دستگاه ما چیست؟,1
1383,مهمترین قسمت دستگاه ما چیست؟,1
1384,اولین پاسخی که بیشتر به معرفی قرآن پرداخت چه بود؟,1
1385,پاسخ دوم در مورد قرآن چه می گوید؟,1
1386,چه چیزی در وسط قرآن گم شده است؟,1
1387,قرآن برای پیدا کردن لینک گمشده چه باید کرد؟,-1
1388,قرآن چيه؟,1
1389,وظيفه ما در مورد قرآن چيه؟,1
1390,لینک گمشده ای که این دو گروه به آن توجه نکردند به چه چیزی است؟,-1
1391,اولین پاسخی که بیشتر به معرفی قرآن پرداخت شد؟,0
1392,پاسخ دوم در مورد قرآن چه می گوید؟,1
1393,چه چیزی در وسط قرآن وجود ندارد؟,1
1394,قرآن برای یافتن لینک گمشده چه کاری باید انجام دهد؟,1
1395,قرآن چیست؟,1
1396,وظیفه ما نسبت به قرآن چیست؟,1
1397,پیوند مفقود شده ای که این دو گروه به آن توجه نکردند چیست؟,1
1398,چه پاسخ دوم سعی کرد به پایان نگاه کنید ، اما نگفت که در حال حاضر ما می رویم به این پایان چه باید بکنید ، از,0
1399,پاسخ دوم به قرآن چه گفت؟,1
1400,وسط چيز گمشده چيه؟,1
